"","Estimate","Std. Error","t value","FDR","bcpid"
"bcpIDd1A11COPR_A",0.329235212765667,0.0146087163909865,22.5369022133118,0.00000000000000000000000000000000000000000000000000000000489132733366854,"bcpIDd1A11COPR_A"
"bcpIDd1A11COPR_B",0.512768613442715,0.0120042750260166,42.7155002973026,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000424527380116843,"bcpIDd1A11COPR_B"
"bcpIDd1A7COPR_A",0.0271431133447255,0.0656208459029397,0.413635529552196,0.679579857088791,"bcpIDd1A7COPR_A"
"bcpIDd1A9COPR_B",0.269409351908715,0.0350058847060519,7.69611607222539,0.000000000000609692562777041,"bcpIDd1A9COPR_B"
"bcpIDd1B10COPR_B",0.153341356769993,0.03418235752958,4.48597954770374,0.0000121694206922965,"bcpIDd1B10COPR_B"
"bcpIDd1B11COPR_A",0.396213425089581,0.0443220871797211,8.93941261121075,0.000000000000000248941647545901,"bcpIDd1B11COPR_A"
"bcpIDd1B1COPR_A",0.181873371757234,0.0689262358723017,2.63866682193682,0.00897204828248327,"bcpIDd1B1COPR_A"
"bcpIDd1B3COPR_A",0.327689942298279,0.0129905799913887,25.2251972210247,0.000000000000000000000000000000000000000000000000000000000000000242387628483296,"bcpIDd1B3COPR_A"
"bcpIDd1B5COPR_A",0.480023968440572,0.0879055940769015,5.4606760068152,0.000000138388773009658,"bcpIDd1B5COPR_A"
"bcpIDd1B7COPR_A",0.119538049413771,0.0847219946429198,1.41094470116753,0.159799147422624,"bcpIDd1B7COPR_A"
"bcpIDd1B9COPR_A",0.457623627139564,0.0100781784576538,45.4073748606848,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000588956793256271,"bcpIDd1B9COPR_A"
"bcpIDd1B9COPR_B",0.345942685320024,0.00865818195625088,39.9555804056839,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000741517644288813,"bcpIDd1B9COPR_B"
"bcpIDd1C10COPR_A",0.0849872988247631,0.0544120521540656,1.56192048379511,0.119872010216375,"bcpIDd1C10COPR_A"
"bcpIDd1C10COPR_B",0.109584206108324,0.0579612875774157,1.89064478531396,0.0601032895802181,"bcpIDd1C10COPR_B"
"bcpIDd1C11COPR_A",0.444584242036342,0.0463790409682748,9.58588691690404,0.00000000000000000355273555848389,"bcpIDd1C11COPR_A"
"bcpIDd1C11COPR_B",0.535146381227416,0.021001119121965,25.481803046758,0.0000000000000000000000000000000000000000000000000000000000000000510361558466875,"bcpIDd1C11COPR_B"
"bcpIDd1C12COPR_A",0.189054287504499,0.0291538292508925,6.48471546833635,0.000000000669482636430521,"bcpIDd1C12COPR_A"
"bcpIDd1C1COPR_A",0.192081247390259,0.0351336518811766,5.46715861020896,0.000000134053892197049,"bcpIDd1C1COPR_A"
"bcpIDd1C3COPR_A",0.0846578452018431,0.0766474869068298,1.10450907940074,0.270686272749605,"bcpIDd1C3COPR_A"
"bcpIDd1C5COPR_A",0.749880964773032,0.0133629408877475,56.1164620177731,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000362419886784325,"bcpIDd1C5COPR_A"
"bcpIDd1C9COPR_B",0.361236579214392,0.0124108983730368,29.1064005486657,0.0000000000000000000000000000000000000000000000000000000000000000000000000338212004619834,"bcpIDd1C9COPR_B"
"bcpIDd1D10COPR_A",0.176692315361753,0.0559991660821398,3.1552669034853,0.00184848723659462,"bcpIDd1D10COPR_A"
"bcpIDd1D10COPR_B",0.272167233828776,0.0157734368372501,17.2547832559885,0.0000000000000000000000000000000000000000134331378837868,"bcpIDd1D10COPR_B"
"bcpIDd1D11COPR_A",0.359999864007194,0.0117158002197111,30.7277230113156,0.00000000000000000000000000000000000000000000000000000000000000000000000000000442413071876544,"bcpIDd1D11COPR_A"
"bcpIDd1D1COPR_A",0.167782780408528,0.0668292613978885,2.51061850601014,0.012836122690523,"bcpIDd1D1COPR_A"
"bcpIDd1E10COPR_B",0.201934073104659,0.0111680749277994,18.0813680432971,0.0000000000000000000000000000000000000000000425279783148494,"bcpIDd1E10COPR_B"
"bcpIDd1E11COPR_A",0.328284654583543,0.0137936956774847,23.7996155823127,0.00000000000000000000000000000000000000000000000000000000000161855441930279,"bcpIDd1E11COPR_A"
"bcpIDd1E7COPR_A",0.0990019529209518,0.0583095536978607,1.6978684733885,0.0910725110329364,"bcpIDd1E7COPR_A"
"bcpIDd1E7COPR_B",0.17661730357809,0.0224701478807456,7.86008639175139,0.000000000000224966455119241,"bcpIDd1E7COPR_B"
"bcpIDd1E9COPR_A",0.374417033348676,0.0397369210922312,9.42239667939136,0.000000000000000010516405761527,"bcpIDd1E9COPR_A"
"bcpIDd1F10COPR_B",0.101514844585615,0.0140283708316656,7.23639585834655,0.00000000000940364754931794,"bcpIDd1F10COPR_B"
"bcpIDd1F11COPR_A",0.428746584059226,0.0133062590813021,32.2214216211753,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000152768722875299,"bcpIDd1F11COPR_A"
"bcpIDd1F11COPR_B",0.493749694743799,0.0117443272631189,42.0415476920793,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000763308769304942,"bcpIDd1F11COPR_B"
"bcpIDd1F1COPR_A",0.115725391552832,0.0360523890126463,3.2099229682737,0.00154455731095653,"bcpIDd1F1COPR_A"
"bcpIDd1F9COPR_A",0.533043570081093,0.0297383437825281,17.924453829008,0.000000000000000000000000000000000000000000126228067372403,"bcpIDd1F9COPR_A"
"bcpIDd1F9COPR_B",0.348123320119559,0.0301737774825567,11.5372800213963,0.00000000000000000000000553042213060376,"bcpIDd1F9COPR_B"
"bcpIDd1G10COPR_A",0.237543267156064,0.0131219614091313,18.1027256329806,0.0000000000000000000000000000000000000000000366810301238742,"bcpIDd1G10COPR_A"
"bcpIDd1G10COPR_B",0.123121597712912,0.0176871977057134,6.96105735693452,0.0000000000462923308809877,"bcpIDd1G10COPR_B"
"bcpIDd1G3COPR_A",0.140315582383658,0.0398218566365413,3.52358212888803,0.000526500664662771,"bcpIDd1G3COPR_A"
"bcpIDd1G5COPR_A",0.513954341574696,0.0166664350033411,30.8376891321788,0.00000000000000000000000000000000000000000000000000000000000000000000000000000243912972421318,"bcpIDd1G5COPR_A"
"bcpIDd1G7COPR_A",0.199933395510609,0.0383781054932973,5.20956917859136,0.000000465292754942959,"bcpIDd1G7COPR_A"
"bcpIDd1G7COPR_B",0.127691288699455,0.0343716514670503,3.71501755805548,0.000262942446556942,"bcpIDd1G7COPR_B"
"bcpIDd1G9COPR_A",0.317917142422469,0.0173228613277528,18.3524613172962,0.00000000000000000000000000000000000000000000652741042173079,"bcpIDd1G9COPR_A"
"bcpIDd1G9COPR_B",0.349172745605835,0.0141605253767594,24.6581773144453,0.00000000000000000000000000000000000000000000000000000000000000780584848294167,"bcpIDd1G9COPR_B"
"bcpIDd1H10COPR_A",0.19773020481254,0.021935700380535,9.01408213015163,0.000000000000000153288128197009,"bcpIDd1H10COPR_A"
"bcpIDd1H10COPR_B",0.216793717109233,0.0281511412828485,7.70106316227107,0.00000000000059171904690795,"bcpIDd1H10COPR_B"
"bcpIDd1H11COPR_A",0.346161387487255,0.017151234464101,20.1828846904169,0.0000000000000000000000000000000000000000000000000253601060622223,"bcpIDd1H11COPR_A"
"bcpIDd1H11COPR_B",0.476653575117179,0.0150369270631594,31.6988685996212,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000241399247439019,"bcpIDd1H11COPR_B"
"bcpIDd1H3COPR_A",0.224281661256108,0.014128132215762,15.8748274599164,0.000000000000000000000000000000000000224764293754817,"bcpIDd1H3COPR_A"
"bcpIDd1H5COPR_A",0.815270557666206,0.0132872425081378,61.3573927898804,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144131068752077,"bcpIDd1H5COPR_A"
"bcpIDd2A10COPR_A",0.212015479629634,0.0724114188841984,2.92792881145849,0.00380384122143725,"bcpIDd2A10COPR_A"
"bcpIDd2A11COPR_A",0.504049288678213,0.0273957224107176,18.3988318001434,0.00000000000000000000000000000000000000000000474047944784149,"bcpIDd2A11COPR_A"
"bcpIDd2A7COPR_A",0.296918074637576,0.0871204563874753,3.40813268145669,0.000789438862785147,"bcpIDd2A7COPR_A"
"bcpIDd2A7COPR_B",0.0574970121525934,0.0618977218405462,0.928903527349692,0.354047752349624,"bcpIDd2A7COPR_B"
"bcpIDd2A9COPR_A",0.638912500212878,0.0162342502161212,39.3558366852331,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111330861631648,"bcpIDd2A9COPR_A"
"bcpIDd2A9COPR_B",0.467769176958317,0.015815323821909,29.5769585388011,0.00000000000000000000000000000000000000000000000000000000000000000000000000244535593907116,"bcpIDd2A9COPR_B"
"bcpIDd2B11COPR_A",0.436348324710005,0.0223313201078114,19.5397460877099,0.0000000000000000000000000000000000000000000000019386998514411,"bcpIDd2B11COPR_A"
"bcpIDd2B11COPR_B",0.570563085136494,0.0210171240154617,27.1475338260718,0.0000000000000000000000000000000000000000000000000000000000000000000025266288139015,"bcpIDd2B11COPR_B"
"bcpIDd2B12COPR_A",0.147168063696284,0.0869339401690246,1.69287235123758,0.0920214211674282,"bcpIDd2B12COPR_A"
"bcpIDd2B5COPR_A",0.585823684849175,0.0142011047966842,41.2519795633053,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000236197821419285,"bcpIDd2B5COPR_A"
"bcpIDd2B7COPR_B",0.165021457686789,0.0471341293392712,3.50110334061685,0.000570168807905713,"bcpIDd2B7COPR_B"
"bcpIDd2C10COPR_B",0.189691276991657,0.0545010955231695,3.48050392695346,0.000613148574880948,"bcpIDd2C10COPR_B"
"bcpIDd2C11COPR_A",0.376606450510017,0.0286590798758243,13.1409121347161,0.0000000000000000000000000000652884313618482,"bcpIDd2C11COPR_A"
"bcpIDd2C7COPR_B",0.134848888975475,0.029080665990729,4.63706329897897,0.00000633880404377099,"bcpIDd2C7COPR_B"
"bcpIDd2D10COPR_A",0.200760553956712,0.0549741949472767,3.65190530119182,0.000331602627017047,"bcpIDd2D10COPR_A"
"bcpIDd2D10COPR_B",0.199134132202188,0.0676858737092617,2.94203385860911,0.00364166466174564,"bcpIDd2D10COPR_B"
"bcpIDd2D11COPR_A",0.40231474390124,0.0774422576272772,5.19502860876739,0.000000498529924310886,"bcpIDd2D11COPR_A"
"bcpIDd2D11COPR_B",0.382886414798508,0.0138816775851011,27.582142896724,0.000000000000000000000000000000000000000000000000000000000000000000000201279110904676,"bcpIDd2D11COPR_B"
"bcpIDd2D5COPR_A",0.594251600470273,0.0158603166159306,37.4678270844472,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069538473811463,"bcpIDd2D5COPR_A"
"bcpIDd2D7COPR_A",0.256956605580987,0.0337898921190042,7.60454057313987,0.00000000000105897304098608,"bcpIDd2D7COPR_A"
