"","EH0","EH0_40","EH40"
"dec_both",0,0,0
"dec_0",0,0,0
"dec_40",0,0,0.062
"dec_neither",0.625,0.688,0.688
"n_extinct",0.375,0.312,0.25
"n_tot",16,32,16
