"","CM (No Stress), 
 80% Stress","CM (No Stress), 
 40% Stress","40% Stress,
 80% Stress","Treatment"
"EH0",-0.613859939778058,-0.145629679726891,0.123540855950975,"EH0"
"EH0_40",0.0469791176955548,0.541700320607281,0.0294876491052275,"EH0_40"
"EH40",0.189454057492928,0.292384826450986,0.158733128729941,"EH40"
"EH20_60",0.340120165164934,0.530218704622099,0.672558897021447,"EH20_60"
"EH0_80",0.0945805772134758,-0.277141925716798,0.313750217389438,"EH0_80"
"EH40_80",0.503873988452155,0.638150658270155,0.443760975355054,"EH40_80"
"EH80",0.499862757846322,0.866369448173909,0.725851446765833,"EH80"
