"","II","ID","DD","IX","DX","XX"
"EH0",3,4,1,5,3,0
"EH0_40",2,4,5,2,3,0
"EH40",9,4,3,0,0,0
"EH20_60",9,4,0,3,0,0
"EH0_80",7,3,0,4,0,0
"EH40_80",9,1,0,6,0,0
"EH80",3,4,0,6,1,0
