"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"dec_both",0,0,0,0,0,0,0
"dec_0",0,2,4,5,8,9,8
"dec_80",12,5,1,0,0,0,0
"dec_none",10,20,27,23,14,17,9
"n_extinct",10,5,0,4,6,6,11
"n_tot",32,32,32,32,30,32,30
