"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"dec_both",0,0,0,0,0,0,0
"dec_0",0,0.062,0.125,0.156,0.267,0.281,0.267
"dec_80",0.375,0.156,0.031,0,0,0,0
"dec_none",0.312,0.625,0.844,0.719,0.467,0.531,0.3
"n_extinct",0.312,0.156,0,0.125,0.2,0.188,0.367
"n_tot",32,32,32,32,30,32,30
