"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"000",3,14,10,6,1,1,1
"100",10,7,4,0,0,0,0
"010",0,0,1,1,0,0,0
"001",0,2,6,4,4,3,4
"110",6,3,4,0,0,0,0
"101",0,0,1,3,0,0,0
"011",0,0,4,10,14,19,10
"111",2,1,2,4,3,3,2
"n_extinct",11,5,0,4,6,6,11
"n_tot",32,32,32,32,30,32,30
