"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"000",0.094,0.438,0.312,0.188,0.033,0.031,0.033
"100",0.312,0.219,0.125,0,0,0,0
"010",0,0,0.031,0.031,0,0,0
"001",0,0.062,0.188,0.125,0.133,0.094,0.133
"110",0.188,0.094,0.125,0,0,0,0
"101",0,0,0.031,0.094,0,0,0
"011",0,0,0.125,0.312,0.467,0.594,0.333
"111",0.062,0.031,0.062,0.125,0.1,0.094,0.067
"n_extinct",0.344,0.156,0,0.125,0.2,0.188,0.367
"n_tot",32,32,32,32,30,32,30
