"","EH40","EH40_80","EH80"
"in_both",0.364,0.625,0.7
"in_40",0.455,0,0
"in_80",0,0.333,0.2
"in_neither",0.182,0.042,0
"n_extinct",5,8,5
"n_tot",16,32,15
