"","mn 0,80","var 0,80","mn 0,40","var 0,40","mn 40,80","var 40,80"
"EH0",0.046135576285494,0.000728882882977962,0.0408322725008491,0.000542008119008991,0.000345604476657846,0.000639588030135321
"EH0_40",0.0187181459880597,0.00117084562893171,0.0135031129549099,0.000624920281162772,0.000149200592566744,0.000650537377821463
"EH40",0.0201939111750339,0.000799999805037029,0.0193997538964204,0.000570328135447476,0.0243935739315321,0.000848835750315741
"EH20_60",0.0388747311362869,0.00127436938537358,0.0194728725688231,0.000597577991148718,0.0510969201747154,0.00158107884974728
"EH0_80",0.0549643579917009,0.00291680086630305,0.0185054064053022,0.000407977739630517,0.0748617224364317,0.00246232975289543
"EH40_80",0.0760558628406379,0.00216112913909283,0.0222886815089258,0.0011021431604161,0.104007657009322,0.00235359360887827
"EH80",0.0981647150015761,0.00400285624132725,0.0128691841701466,0.00268168000900253,0.114954192977111,0.00424194475784668
