"","EH40","EH40_80","EH80"
"dec_both",0,0,0
"dec_40",0.091,0.042,0
"dec_80",0,0,0
"dec_neither",0.909,0.958,0.9
"n_extinct",5,8,5
"n_tot",16,32,15
