"","II","ID","DD","IX","DX","XX"
"EH0",2,0,0,6,0,0
"EH0_40",5,1,0,10,0,0
"EH40",3,1,0,4,0,0
"EH20_60",10,2,0,4,0,0
"EH0_80",2,2,3,4,3,0
"EH40_80",2,4,2,3,5,0
"EH80",1,1,0,3,2,0
