"","EH0","EH0_40","EH40"
"in_both",0.364,0.148,0.188
"in_0",0.455,0.259,0.156
"in_40",0,0,0.156
"in_neither",0.182,0.593,0.5
"n_extinct",10,5,0
"n_tot",32,32,32
