"","u","v","power","f2","sig.level","n"
"1",1,54,0.0499999999999999,0,0.05,"56"
"2",1,54,0.0897226967117582,0.0151515151515152,0.05,"56"
"3",1,54,0.13069404431244,0.0303030303030303,0.05,"56"
"4",1,54,0.172383610039338,0.0454545454545454,0.05,"56"
"5",1,54,0.214332366535636,0.0606060606060606,0.05,"56"
"6",1,54,0.256147084440281,0.0757575757575758,0.05,"56"
"7",1,54,0.297494700086284,0.0909090909090909,0.05,"56"
"8",1,54,0.338096744704154,0.106060606060606,0.05,"56"
"9",1,54,0.377723952704692,0.121212121212121,0.05,"56"
"10",1,54,0.416191087710299,0.136363636363636,0.05,"56"
"11",1,54,0.453352048513633,0.151515151515152,0.05,"56"
"12",1,54,0.489095275290972,0.166666666666667,0.05,"56"
"13",1,54,0.523339485116159,0.181818181818182,0.05,"56"
"14",1,54,0.55602972601345,0.196969696969697,0.05,"56"
"15",1,54,0.587133771217374,0.212121212121212,0.05,"56"
"16",1,54,0.616638832414173,0.227272727272727,0.05,"56"
"17",1,54,0.644548592032208,0.242424242424242,0.05,"56"
"18",1,54,0.67088052808281,0.257575757575758,0.05,"56"
"19",1,54,0.695663529777763,0.272727272727273,0.05,"56"
"20",1,54,0.718935776366801,0.287878787878788,0.05,"56"
"21",1,54,0.740742864253676,0.303030303030303,0.05,"56"
"22",1,54,0.761136161985992,0.318181818181818,0.05,"56"
"23",1,54,0.780171379345316,0.333333333333333,0.05,"56"
"24",1,54,0.797907320267399,0.348484848484848,0.05,"56"
"25",1,54,0.814404816413946,0.363636363636364,0.05,"56"
"26",1,54,0.82972581404607,0.378787878787879,0.05,"56"
"27",1,54,0.843932601960616,0.393939393939394,0.05,"56"
"28",1,54,0.857087164767271,0.409090909090909,0.05,"56"
"29",1,54,0.869250647443157,0.424242424242424,0.05,"56"
"30",1,54,0.880482917314338,0.439393939393939,0.05,"56"
"31",1,54,0.890842216371951,0.454545454545454,0.05,"56"
"32",1,54,0.90038488147842,0.46969696969697,0.05,"56"
"33",1,54,0.909165137220496,0.484848484848485,0.05,"56"
"34",1,54,0.917234941939547,0.5,0.05,"56"
"35",1,54,0.924643882904631,0.515151515151515,0.05,"56"
"36",1,54,0.931439112769707,0.53030303030303,0.05,"56"
"37",1,54,0.937665320885025,0.545454545454545,0.05,"56"
"38",1,54,0.943364733759245,0.560606060606061,0.05,"56"
"39",1,54,0.948577139636878,0.575757575757576,0.05,"56"
"40",1,54,0.953339932118786,0.590909090909091,0.05,"56"
"41",1,54,0.957688172717586,0.606060606060606,0.05,"56"
"42",1,54,0.961654659881921,0.621212121212121,0.05,"56"
"43",1,54,0.965270013334865,0.636363636363636,0.05,"56"
"44",1,54,0.968562762673869,0.651515151515151,0.05,"56"
"45",1,54,0.971559441410469,0.666666666666667,0.05,"56"
"46",1,54,0.974284684097118,0.681818181818182,0.05,"56"
"47",1,54,0.97676132501248,0.696969696969697,0.05,"56"
"48",1,54,0.979010497129902,0.712121212121212,0.05,"56"
"49",1,54,0.981051730316296,0.727272727272727,0.05,"56"
"50",1,54,0.982903047903305,0.742424242424242,0.05,"56"
"51",1,54,0.984581060942102,0.757575757575758,0.05,"56"
"52",1,54,0.986101059599923,0.772727272727273,0.05,"56"
"53",1,54,0.987477101282945,0.787878787878788,0.05,"56"
"54",1,54,0.9887220947163,0.803030303030303,0.05,"56"
"55",1,54,0.9898478824889,0.818181818181818,0.05,"56"
"56",1,54,0.990865315244883,0.833333333333333,0.05,"56"
"57",1,54,0.991784326196966,0.848484848484848,0.05,"56"
"58",1,54,0.992613999503897,0.863636363636364,0.05,"56"
"59",1,54,0.993362635070223,0.878787878787879,0.05,"56"
"60",1,54,0.994037809418711,0.893939393939394,0.05,"56"
"61",1,54,0.994646432729046,0.909090909090909,0.05,"56"
"62",1,54,0.995194802159286,0.924242424242424,0.05,"56"
"63",1,54,0.995688651583999,0.939393939393939,0.05,"56"
"64",1,54,0.996133197895863,0.954545454545455,0.05,"56"
"65",1,54,0.996533184026411,0.96969696969697,0.05,"56"
"66",1,54,0.99689291884733,0.984848484848485,0.05,"56"
"67",1,54,0.99721631411652,1,0.05,"56"
"68",1,54,0.997506918633838,1.01515151515152,0.05,"56"
"69",1,54,0.997767949770143,1.03030303030303,0.05,"56"
"70",1,54,0.998002322530517,1.04545454545455,0.05,"56"
"71",1,54,0.998212676308594,1.06060606060606,0.05,"56"
"72",1,54,0.998401399484025,1.07575757575758,0.05,"56"
"73",1,54,0.998570652009482,1.09090909090909,0.05,"56"
"74",1,54,0.99872238612752,1.10606060606061,0.05,"56"
"75",1,54,0.99885836535108,1.12121212121212,0.05,"56"
"76",1,54,0.99898018183478,1.13636363636364,0.05,"56"
"77",1,54,0.999089272257271,1.15151515151515,0.05,"56"
"78",1,54,0.99918693232815,1.16666666666667,0.05,"56"
