"","EH0","EH0_40","EH40"
"in_both",0.562,0.406,0.625
"in_0",0,0.031,0
"in_40",0,0.062,0
"in_neither",0.062,0.188,0.125
"n_extinct",0.375,0.312,0.25
"n_tot",16,32,16
