"","EH0","EH0_40","EH40"
"in_both",0.25,0.125,0.188
"in_0",0.312,0.219,0.156
"in_40",0,0,0.156
"in_neither",0.125,0.5,0.5
"n_extinct",0.312,0.156,0
"n_tot",32,32,32
