"","EH40","EH40_80","EH80"
"in_both",0.25,0.469,0.467
"in_40",0.312,0,0
"in_80",0,0.25,0.133
"in_neither",0.125,0.031,0
"n_extinct",0.312,0.25,0.333
"n_tot",16,32,15
