"","pres_both","ext_both","ext_00_only","ext_80_only","pres_both_p","ext_both_p","ext_00_only_p","ext_80_only_p"
"EH0",22,9,0,1,0.69,0.28,0,0.03
"EH0_40",27,4,1,0,0.84,0.12,0.03,0
"EH40",31,0,0,1,0.97,0,0,0.03
"EH20_60",28,3,0,1,0.88,0.09,0,0.03
"EH0_80",24,5,0,1,0.8,0.17,0,0.03
"EH40_80",26,5,1,0,0.81,0.16,0.03,0
"EH80",19,8,2,1,0.63,0.27,0.07,0.03
