"","fitchange","psd","n","power","sig.level"
"1",0,0.00908502047085672,4,0.05,0.05
"2",0.000404040404040404,0.00908502047085672,4,0.0503287058534064,0.05
"3",0.000808080808080808,0.00908502047085672,4,0.0513154650180605,0.05
"4",0.00121212121212121,0.00908502047085672,4,0.0529621805656634,0.05
"5",0.00161616161616162,0.00908502047085672,4,0.0552719521745586,0.05
"6",0.00202020202020202,0.00908502047085672,4,0.0582489692677127,0.05
"7",0.00242424242424242,0.00908502047085672,4,0.0618983639867909,0.05
"8",0.00282828282828283,0.00908502047085672,4,0.0662260265304628,0.05
"9",0.00323232323232323,0.00908502047085672,4,0.0712383860580155,0.05
"10",0.00363636363636364,0.00908502047085672,4,0.076942160956987,0.05
"11",0.00404040404040404,0.00908502047085672,4,0.0833440828389556,0.05
"12",0.00444444444444444,0.00908502047085672,4,0.090450599116386,0.05
"13",0.00484848484848485,0.00908502047085672,4,0.0982675594126348,0.05
"14",0.00525252525252525,0.00908502047085672,4,0.106799891408304,0.05
"15",0.00565656565656566,0.00908502047085672,4,0.116051271960041,0.05
"16",0.00606060606060606,0.00908502047085672,4,0.126023799456841,0.05
"17",0.00646464646464646,0.00908502047085672,4,0.136717673457343,0.05
"18",0.00686868686868687,0.00908502047085672,4,0.148130887577656,0.05
"19",0.00727272727272727,0.00908502047085672,4,0.160258941425466,0.05
"20",0.00767676767676768,0.00908502047085672,4,0.173094577152194,0.05
"21",0.00808080808080808,0.00908502047085672,4,0.186627545809573,0.05
"22",0.00848484848484848,0.00908502047085672,4,0.200844408229111,0.05
"23",0.00888888888888889,0.00908502047085672,4,0.215728374636373,0.05
"24",0.00929292929292929,0.00908502047085672,4,0.231259186560904,0.05
"25",0.0096969696969697,0.00908502047085672,4,0.247413043899738,0.05
"26",0.0101010101010101,0.00908502047085672,4,0.264162579277283,0.05
"27",0.0105050505050505,0.00908502047085672,4,0.281476881022962,0.05
"28",0.0109090909090909,0.00908502047085672,4,0.299321565257115,0.05
"29",0.0113131313131313,0.00908502047085672,4,0.317658896771578,0.05
"30",0.0117171717171717,0.00908502047085672,4,0.336447957532283,0.05
"31",0.0121212121212121,0.00908502047085672,4,0.355644860811298,0.05
"32",0.0125252525252525,0.00908502047085672,4,0.37520300820649,0.05
"33",0.0129292929292929,0.00908502047085672,4,0.395073386056725,0.05
"34",0.0133333333333333,0.00908502047085672,4,0.415204897094813,0.05
"35",0.0137373737373737,0.00908502047085672,4,0.435544722624499,0.05
"36",0.0141414141414141,0.00908502047085672,4,0.45603870999568,0.05
"37",0.0145454545454545,0.00908502047085672,4,0.476631779757262,0.05
"38",0.0149494949494949,0.00908502047085672,4,0.497268346606367,0.05
"39",0.0153535353535354,0.00908502047085672,4,0.517892748062301,0.05
"40",0.0157575757575758,0.00908502047085672,4,0.538449674733181,0.05
"41",0.0161616161616162,0.00908502047085672,4,0.55888459611997,0.05
"42",0.0165656565656566,0.00908502047085672,4,0.579144176053151,0.05
"43",0.016969696969697,0.00908502047085672,4,0.59917667212719,0.05
"44",0.0173737373737374,0.00908502047085672,4,0.61893231388613,0.05
"45",0.0177777777777778,0.00908502047085672,4,0.638363654956441,0.05
"46",0.0181818181818182,0.00908502047085672,4,0.657425894855056,0.05
"47",0.0185858585858586,0.00908502047085672,4,0.67607716681428,0.05
"48",0.018989898989899,0.00908502047085672,4,0.694278788592,0.05
"49",0.0193939393939394,0.00908502047085672,4,0.711995473934987,0.05
"50",0.0197979797979798,0.00908502047085672,4,0.729195503035668,0.05
"51",0.0202020202020202,0.00908502047085672,4,0.745850851061546,0.05
"52",0.0206060606060606,0.00908502047085672,4,0.761937274504874,0.05
"53",0.021010101010101,0.00908502047085672,4,0.777434355767319,0.05
"54",0.0214141414141414,0.00908502047085672,4,0.792325507051901,0.05
"55",0.0218181818181818,0.00908502047085672,4,0.806597935198911,0.05
"56",0.0222222222222222,0.00908502047085672,4,0.82024256962876,0.05
"57",0.0226262626262626,0.00908502047085672,4,0.833253956039361,0.05
"58",0.023030303030303,0.00908502047085672,4,0.845630118879639,0.05
"59",0.0234343434343434,0.00908502047085672,4,0.85737239593666,0.05
"60",0.0238383838383838,0.00908502047085672,4,0.868485248632935,0.05
"61",0.0242424242424242,0.00908502047085672,4,0.878976051777566,0.05
"62",0.0246464646464646,0.00908502047085672,4,0.888854866600993,0.05
"63",0.0250505050505051,0.00908502047085672,4,0.898134200934698,0.05
"64",0.0254545454545455,0.00908502047085672,4,0.906828760323999,0.05
"65",0.0258585858585859,0.00908502047085672,4,0.914955193764186,0.05
"66",0.0262626262626263,0.00908502047085672,4,0.922531837554408,0.05
"67",0.0266666666666667,0.00908502047085672,4,0.92957846057431,0.05
"68",0.0270707070707071,0.00908502047085672,4,0.936116014004614,0.05
"69",0.0274747474747475,0.00908502047085672,4,0.942166388218493,0.05
"70",0.0278787878787879,0.00908502047085672,4,0.947752179274233,0.05
"71",0.0282828282828283,0.00908502047085672,4,0.952896467087618,0.05
"72",0.0286868686868687,0.00908502047085672,4,0.957622607020318,0.05
"73",0.0290909090909091,0.00908502047085672,4,0.961954036296349,0.05
"74",0.0294949494949495,0.00908502047085672,4,0.965914096306319,0.05
"75",0.0298989898989899,0.00908502047085672,4,0.969525871534189,0.05
"76",0.0303030303030303,0.00908502047085672,4,0.972812045549822,0.05
"77",0.0307070707070707,0.00908502047085672,4,0.975794774205883,0.05
"78",0.0311111111111111,0.00908502047085672,4,0.978495575932947,0.05
"79",0.0315151515151515,0.00908502047085672,4,0.980935238772351,0.05
