"","treat","sumtreat","fixedtreat","fixedprop","min","max","mn"
"1","EH0",16,6,0.375,0,0,0
"2","EH20",12,3,0.25,20,20,20
"3","EH0_40",12,4,0.333333333333333,0,40,20
"4","EH0_60",10,3,0.3,0,60,30
"5","EH40",12,4,0.333333333333333,40,40,40
"6","EH20_60",12,3,0.25,20,60,40
"7","EH0_80",12,7,0.583333333333333,0,80,40
"8","EH60",10,2,0.2,60,60,60
"9","EH40_80",16,2,0.125,40,80,60
"10","EH80",10,4,0.4,80,80,80
"11","EH100",10,5,0.5,100,100,100
