"","treat","sumtreat","fixedtreat","fixedprop","min","max","mn"
"1","EH0",16,4,0.25,0,0,0
"2","EH20",14,0,0,20,20,20
"3","EH0_40",16,6,0.375,0,40,20
"4","EH0_60",12,0,0,0,60,30
"5","EH40",16,5,0.3125,40,40,40
"6","EH20_60",16,0,0,20,60,40
"7","EH0_80",14,4,0.285714285714286,0,80,40
"8","EH60",14,0,0,60,60,60
"9","EH40_80",16,4,0.25,40,80,60
"10","EH80",14,3,0.214285714285714,80,80,80
"11","EH100",14,7,0.5,100,100,100
