"","II","ID","DD","IX","DX","XX"
"EH0",0,5,2,2,7,0
"EH0_40",0,5,7,1,3,0
"EH40",7,9,0,0,0,0
"EH20_60",11,1,0,4,0,0
"EH0_80",8,0,0,6,0,0
"EH40_80",11,0,0,5,0,0
"EH80",4,1,0,9,0,0
