"","Estimate","Std. Error","t value","FDR","bcpid"
"bcpIDd2D10COPR_A",-0.00346747458035651,0.00955204881416766,-0.363008465284802,0.716807543901814,"bcpIDd2D10COPR_A"
"bcpIDd2D10COPR_B",-0.0179466279980257,0.010617796886415,-1.69024028148321,0.0918311223019256,"bcpIDd2D10COPR_B"
"bcpIDd2D11COPR_A",-0.00333476547883382,0.101820351051695,-0.0327514631838259,0.973890588655829,"bcpIDd2D11COPR_A"
"bcpIDd2D11COPR_B",0.0947499600493028,0.00859108361108464,11.0288718325418,0.0000000000000000000000012740301768499,"bcpIDd2D11COPR_B"
"bcpIDd2D3COPR_A",0.0505264322302966,0.019619420375212,2.57532746961953,0.0104052858607412,"bcpIDd2D3COPR_A"
"bcpIDd2D5COPR_A",0.0215069096015966,0.0105881645475066,2.03122170090012,0.0429527303980232,"bcpIDd2D5COPR_A"
"bcpIDd2D7COPR_A",0.116793934419132,0.00819412207371885,14.2533798457467,0.000000000000000000000000000000000000539849724661014,"bcpIDd2D7COPR_A"
"bcpIDd2D7COPR_B",0.0565801709987941,0.0098361757747385,5.7522529379868,0.0000000185760869561294,"bcpIDd2D7COPR_B"
"bcpIDd2D9COPR_A",0.092668690214631,0.00880949569275113,10.519182192334,0.0000000000000000000000855284173741855,"bcpIDd2D9COPR_A"
"bcpIDd2D9COPR_B",0.0937321981091748,0.00895726874914295,10.4643726491006,0.000000000000000000000133639147042906,"bcpIDd2D9COPR_B"
"bcpIDd2E10COPR_A",0.0513289938784436,0.0105546439402985,4.8631667888355,0.00000171672487413965,"bcpIDd2E10COPR_A"
"bcpIDd2E11COPR_A",0.0132215080131164,0.0140408007975922,0.941649141221611,0.346991711103869,"bcpIDd2E11COPR_A"
"bcpIDd2E11COPR_B",0.039462267680018,0.00855267089824296,4.61402854728398,0.00000546606328180245,"bcpIDd2E11COPR_B"
"bcpIDd2E1COPR_A",0.0353750932960135,0.00649035368013995,5.45041072326442,0.00000009239151120131,"bcpIDd2E1COPR_A"
"bcpIDd2E3COPR_A",0.0945451995375419,0.00902375783075043,10.4773644540148,0.000000000000000000000120237094414826,"bcpIDd2E3COPR_A"
"bcpIDd2E5COPR_A",0.157771936406425,0.00620109250706969,25.4426032552416,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000499815684983032,"bcpIDd2E5COPR_A"
"bcpIDd2E7COPR_B",0.00600189197001323,0.0210622597968179,0.284959545077875,0.7758358719079,"bcpIDd2E7COPR_B"
"bcpIDd2E9COPR_A",0.0176016499254057,0.0122648199169886,1.43513317313569,0.152100805658181,"bcpIDd2E9COPR_A"
"bcpIDd2E9COPR_B",0.0406727113723273,0.0114064839127907,3.56575362603359,0.000410816937714191,"bcpIDd2E9COPR_B"
"bcpIDd2F10COPR_A",0.0676075814312784,0.00873999699100595,7.7354238795335,0.000000000000100505832827185,"bcpIDd2F10COPR_A"
"bcpIDd2F10COPR_B",0.0955491534508976,0.010869254568675,8.7907733549887,0.0000000000000000582519243184157,"bcpIDd2F10COPR_B"
"bcpIDd2F1COPR_A",0.0181273150688438,0.0207544760905999,0.87341713612583,0.383006881430205,"bcpIDd2F1COPR_A"
"bcpIDd2F3COPR_A",-0.0196893484302031,0.010420323820217,-1.88951406596431,0.0596109576087485,"bcpIDd2F3COPR_A"
"bcpIDd2F5COPR_A",0.00902506371660791,0.00743657640611756,1.21360465135322,0.225679181209076,"bcpIDd2F5COPR_A"
"bcpIDd2F7COPR_A",0.0142453463167583,0.00861892796228059,1.65279793253881,0.0992271633033639,"bcpIDd2F7COPR_A"
"bcpIDd2F7COPR_B",0.0621104036606094,0.00835920242184754,7.43018299189385,0.000000000000768710989512497,"bcpIDd2F7COPR_B"
"bcpIDd2F9COPR_A",0.0076505766148198,0.0312890844988137,0.244512638748183,0.806970460421579,"bcpIDd2F9COPR_A"
"bcpIDd2G10COPR_B",0.0702538314610937,0.0428131885404182,1.64093901566733,0.101666764124728,"bcpIDd2G10COPR_B"
"bcpIDd2G11COPR_A",-0.0284983774862834,0.012529863103386,-2.2744364604097,0.0235163227402723,"bcpIDd2G11COPR_A"
"bcpIDd2G11COPR_B",0.0631988613884126,0.0110226508628446,5.73354469580857,0.000000020558458204501,"bcpIDd2G11COPR_B"
"bcpIDd2G12COPR_A",0.0887045976889946,0.0136665205396627,6.49064971816038,0.000000000277457600684588,"bcpIDd2G12COPR_A"
"bcpIDd2G1COPR_A",0.099036197794005,0.00766960875633399,12.9128096282898,0.000000000000000000000000000000104837920944339,"bcpIDd2G1COPR_A"
"bcpIDd2G5COPR_A",0.0315598193671862,0.00964373285674446,3.27257295862508,0.0011668537386594,"bcpIDd2G5COPR_A"
"bcpIDd2G7COPR_A",-0.00627417137187295,0.0272540022436326,-0.230211009589933,0.818056071188502,"bcpIDd2G7COPR_A"
"bcpIDd2G9COPR_A",0.0271021348233789,0.0113570347702268,2.38637420521322,0.017521531912504,"bcpIDd2G9COPR_A"
"bcpIDd2G9COPR_B",0.0313471180606977,0.017270128886918,1.81510620250454,0.0703237161459205,"bcpIDd2G9COPR_B"
"bcpIDd2H10COPR_A",0.049715166462987,0.0309574422514777,1.60591970289839,0.109151609053284,"bcpIDd2H10COPR_A"
"bcpIDd2H10COPR_B",0.0685755219440213,0.0138883584825467,4.93762614424152,0.00000120290975643658,"bcpIDd2H10COPR_B"
"bcpIDd2H11COPR_A",0.068226395902248,0.0113498549829902,6.01121300708225,0.00000000444593629116903,"bcpIDd2H11COPR_A"
"bcpIDd2H11COPR_B",0.00242172750433471,0.0100845751393265,0.24014174825182,0.810354447350576,"bcpIDd2H11COPR_B"
"bcpIDd2H3COPR_A",0.146358507444117,0.0121442430316516,12.0516780718783,0.000000000000000000000000000207709438041773,"bcpIDd2H3COPR_A"
"bcpIDd2H7COPR_A",0.038977125794796,0.0124392801381871,3.1333907880361,0.0018669649988137,"bcpIDd2H7COPR_A"
"bcpIDd2H7COPR_B",0.0622843870539875,0.0103939532293652,5.99236745437917,0.00000000494162417762596,"bcpIDd2H7COPR_B"
"bcpIDd2H9COPR_A",0.0181810973767665,0.012531553848301,1.45082546002318,0.147682630726718,"bcpIDd2H9COPR_A"
"bcpIDd2H9COPR_B",0.0230700291725116,0.00737500900909417,3.12813572757184,0.00189977614992377,"bcpIDd2H9COPR_B"
