"","EH0","EH0_40","EH40"
"in_both",0.9,0.591,0.833
"in_0",0,0.045,0
"in_40",0,0.091,0
"in_neither",0.1,0.273,0.167
"n_extinct",6,10,4
"n_tot",16,32,16
