"","CM (No Stress), 
 80% Stress","CM (No Stress), 
 40% Stress","40% Stress,
 80% Stress","Treatment"
"EH0",-0.20717150676166,0.0346361600947192,0.438443382705294,"EH0"
"EH0_40",0.0369594719877008,0.592052493833185,0.198318540072145,"EH0_40"
"EH40",-0.00383025460421112,0.382956806924957,0.0849535549946189,"EH40"
"EH20_60",0.390617547826044,0.611672058388844,0.705802182905548,"EH20_60"
"EH0_80",0.00189112581352156,0.252724087227712,0.655946954176784,"EH0_80"
"EH40_80",0.466349209094591,0.621710978205799,0.835230362216487,"EH40_80"
"EH80",0.163065483983963,0.854217853971794,0.461588153263304,"EH80"
