"","EH40","EH40_80","EH80"
"dec_both",0,0,0
"dec_40",0.062,0,0.048
"dec_80",0.031,0,0
"dec_neither",0.906,1,0.857
"n_extinct",0,6,9
"n_tot",32,32,30
