"","fitchange","psd","n","power","sig.level"
"1",0,0.0091071297647019,4,0.05,0.05
"2",0.000404040404040404,0.0091071297647019,4,0.0503271115395245,0.05
"3",0.000808080808080808,0.0091071297647019,4,0.0513090815721563,0.05
"4",0.00121212121212121,0.0091071297647019,4,0.0529477949127881,0.05
"5",0.00161616161616162,0.0091071297647019,4,0.0552463218524688,0.05
"6",0.00202020202020202,0.0091071297647019,4,0.0582088128325012,0.05
"7",0.00242424242424242,0.0091071297647019,4,0.0618403535195594,0.05
"8",0.00282828282828283,0.0091071297647019,4,0.0661467827627229,0.05
"9",0.00323232323232323,0.0091071297647019,4,0.0711344765657882,0.05
"10",0.00363636363636364,0.0091071297647019,4,0.0768101018224749,0.05
"11",0.00404040404040404,0.0091071297647019,4,0.0831803440627856,0.05
"12",0.00444444444444444,0.0091071297647019,4,0.0902516140076346,0.05
"13",0.00484848484848485,0.0091071297647019,4,0.0980297380674792,0.05
"14",0.00525252525252525,0.0091071297647019,4,0.106519638293855,0.05
"15",0.00565656565656566,0.0091071297647019,4,0.115725007515637,0.05
"16",0.00606060606060606,0.0091071297647019,4,0.125647985522278,0.05
"17",0.00646464646464646,0.0091071297647019,4,0.136288842235375,0.05
"18",0.00686868686868687,0.0091071297647019,4,0.147645673740943,0.05
"19",0.00727272727272727,0.0091071297647019,4,0.1597141168882,0.05
"20",0.00767676767676768,0.0091071297647019,4,0.172487087943673,0.05
"21",0.00808080808080808,0.0091071297647019,4,0.185954550415743,0.05
"22",0.00848484848484848,0.0091071297647019,4,0.200103316710029,0.05
"23",0.00888888888888889,0.0091071297647019,4,0.214916887781682,0.05
"24",0.00929292929292929,0.0091071297647019,4,0.230375334316287,0.05
"25",0.0096969696969697,0.0091071297647019,4,0.246455222285077,0.05
"26",0.0101010101010101,0.0091071297647019,4,0.263129585020167,0.05
"27",0.0105050505050505,0.0091071297647019,4,0.280367943152659,0.05
"28",0.0109090909090909,0.0091071297647019,4,0.298136372943097,0.05
"29",0.0113131313131313,0.0091071297647019,4,0.316397622744258,0.05
"30",0.0117171717171717,0.0091071297647019,4,0.33511127649392,0.05
"31",0.0121212121212121,0.0091071297647019,4,0.354233962329741,0.05
"32",0.0125252525252525,0.0091071297647019,4,0.373719603679555,0.05
"33",0.0129292929292929,0.0091071297647019,4,0.393519709441597,0.05
"34",0.0133333333333333,0.0091071297647019,4,0.413583699211468,0.05
"35",0.0137373737373737,0.0091071297647019,4,0.433859258960275,0.05
"36",0.0141414141414141,0.0091071297647019,4,0.454292722059945,0.05
"37",0.0145454545454545,0.0091071297647019,4,0.474829470156789,0.05
"38",0.0149494949494949,0.0091071297647019,4,0.495414348129091,0.05
"39",0.0153535353535354,0.0091071297647019,4,0.515992087169404,0.05
"40",0.0157575757575758,0.0091071297647019,4,0.536507729963633,0.05
"41",0.0161616161616162,0.0091071297647019,4,0.556907052003627,0.05
"42",0.0165656565656566,0.0091071297647019,4,0.577136973208853,0.05
"43",0.016969696969697,0.0091071297647019,4,0.597145954288381,0.05
"44",0.0173737373737374,0.0091071297647019,4,0.616884372646294,0.05
"45",0.0177777777777778,0.0091071297647019,4,0.636304873054511,0.05
"46",0.0181818181818182,0.0091071297647019,4,0.655362688853983,0.05
"47",0.0185858585858586,0.0091071297647019,4,0.674015929996241,0.05
"48",0.018989898989899,0.0091071297647019,4,0.692225834904149,0.05
"49",0.0193939393939394,0.0091071297647019,4,0.709956983768285,0.05
"50",0.0197979797979798,0.0091071297647019,4,0.727177471577422,0.05
"51",0.0202020202020202,0.0091071297647019,4,0.743859039898105,0.05
"52",0.0206060606060606,0.0091071297647019,4,0.759977167077969,0.05
"53",0.021010101010101,0.0091071297647019,4,0.775511117205226,0.05
"54",0.0214141414141414,0.0091071297647019,4,0.790443948805193,0.05
"55",0.0218181818181818,0.0091071297647019,4,0.804762484815639,0.05
"56",0.0222222222222222,0.0091071297647019,4,0.818457245906403,0.05
"57",0.0226262626262626,0.0091071297647019,4,0.831522349691243,0.05
"58",0.023030303030303,0.0091071297647019,4,0.843955378756924,0.05
"59",0.0234343434343434,0.0091071297647019,4,0.855757220754279,0.05
"60",0.0238383838383838,0.0091071297647019,4,0.866931884059098,0.05
"61",0.0242424242424242,0.0091071297647019,4,0.877486292666185,0.05
"62",0.0246464646464646,0.0091071297647019,4,0.887430064074592,0.05
"63",0.0250505050505051,0.0091071297647019,4,0.89677527396179,0.05
"64",0.0254545454545455,0.0091071297647019,4,0.905536211383215,0.05
"65",0.0258585858585859,0.0091071297647019,4,0.91372912814503,0.05
"66",0.0262626262626263,0.0091071297647019,4,0.921371985815021,0.05
"67",0.0266666666666667,0.0091071297647019,4,0.928484203655514,0.05
"68",0.0270707070707071,0.0091071297647019,4,0.935086410490848,0.05
"69",0.0274747474747475,0.0091071297647019,4,0.941200203237663,0.05
"70",0.0278787878787879,0.0091071297647019,4,0.946847914537524,0.05
"71",0.0282828282828283,0.0091071297647019,4,0.952052391589251,0.05
"72",0.0286868686868687,0.0091071297647019,4,0.956836787943575,0.05
"73",0.0290909090909091,0.0091071297647019,4,0.961224369703336,0.05
"74",0.0294949494949495,0.0091071297647019,4,0.965238337226423,0.05
"75",0.0298989898989899,0.0091071297647019,4,0.968901663107687,0.05
"76",0.0303030303030303,0.0091071297647019,4,0.972236946925921,0.05
"77",0.0307070707070707,0.0091071297647019,4,0.975266286940488,0.05
"78",0.0311111111111111,0.0091071297647019,4,0.97801116867657,0.05
"79",0.0315151515151515,0.0091071297647019,4,0.980492370084959,0.05
