"","II","ID","DD","IX","DX","XX"
"EH0",0,0,0,7,1,0
"EH0_40",2,0,0,12,0,2
"EH40",1,0,0,5,0,2
"EH20_60",5,0,0,9,0,2
"EH0_80",4,0,0,11,0,1
"EH40_80",7,0,0,9,0,0
"EH80",3,0,0,5,0,0
