"","EH40","EH40_80","EH80"
"in_both",0.125,0.469,0.281
"in_40",0.156,0,0
"in_80",0,0.25,0.062
"in_neither",0.062,0.031,0.031
"n_extinct",0.656,0.25,0.625
"n_tot",32,32,32
