"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"000",1,4,2,4,0,1,0
"100",0,1,0,2,0,0,0
"010",0,2,0,0,0,0,0
"001",0,0,0,1,7,8,2
"110",4,9,5,4,0,0,0
"101",0,0,0,1,0,0,0
"011",0,0,0,0,7,9,3
"111",5,4,4,14,6,6,6
"n_extinct",6,12,5,6,10,8,5
"n_tot",16,32,16,32,30,32,16
