"","EH40","EH40_80","EH80"
"in_both",0.188,0.846,0.609
"in_40",0.156,0,0
"in_80",0.219,0.115,0.261
"in_neither",0.438,0.038,0.13
"n_extinct",0,6,9
"n_tot",32,32,32
