"","EH0","EH0_80","EH80"
"in_both",0.062,0.1,0.062
"in_0",0.5,0,0
"in_80",0,0.667,0.562
"in_neither",0.125,0.033,0.031
"n_extinct",0.312,0.2,0.344
"n_tot",32,30,32
