"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"dec_both",0,0,0,0,0,0,0
"dec_0",0,0.074,0.125,0.179,0.375,0.346,0.476
"dec_80",0.545,0.185,0.031,0,0,0,0
"dec_none",0.455,0.741,0.844,0.821,0.625,0.654,0.524
"n_extinct",10,5,0,4,6,6,11
"n_tot",32,32,32,32,30,32,32
