"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"000",1,1,0.909,0.962,0.75,0.708,0.909
"100",0,0,0,0,0.25,0.25,0.091
"010",0,0,0.091,0.038,0,0,0
"001",0,0,0,0,0,0,0
"110",0,0,0,0,0,0.042,0
"101",0,0,0,0,0,0,0
"011",0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0
"n_extinct",22,12,21,6,10,8,21
"n_tot",32,32,32,32,30,32,32
