"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"dec_both",0,0,0,0,0,0,0
"dec_0",0,0,0,0,0.167,0.219,0.062
"dec_80",0,0,0,0,0,0,0
"dec_none",0.625,0.625,0.688,0.812,0.5,0.531,0.625
"n_extinct",0.375,0.375,0.312,0.188,0.333,0.25,0.312
"n_tot",16,32,16,32,30,32,16
