"","EH0","EH0_80","EH80"
"in_both",0.156,0.2,0.188
"in_0",0.125,0,0
"in_80",0,0.467,0.156
"in_neither",0.031,0,0
"n_extinct",0.688,0.333,0.656
"n_tot",32,30,32
