"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"in_both",2,1,3,7,3,4,2
"in_0",16,10,8,0,0,0,0
"in_80",0,2,10,14,20,21,18
"in_neither",4,14,11,7,1,1,1
"n_extinct",10,5,0,4,6,6,11
"n_tot",32,32,32,32,30,32,32
