"","II","ID","DD","IX","DX","XX"
"EH0",2,0,0,6,0,0
"EH0_40",5,1,1,9,0,0
"EH40",3,1,0,4,0,0
"EH20_60",10,2,0,4,0,0
"EH0_80",5,1,0,9,0,1
"EH40_80",7,1,0,7,1,0
"EH80",3,0,0,5,0,0
