"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"in_both",0.156,0.125,0.125,0.469,0.2,0.188,0.188
"in_0",0.125,0.312,0.156,0.188,0,0,0
"in_80",0,0,0,0.031,0.467,0.531,0.156
"in_neither",0.031,0.188,0.062,0.125,0,0.031,0
"n_extinct",0.688,0.375,0.656,0.188,0.333,0.25,0.656
"n_tot",32,32,32,32,30,32,32
