"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"in_both",5,4,4,15,6,6,6
"in_0",4,10,5,6,0,0,0
"in_80",0,0,0,1,14,17,5
"in_neither",1,6,2,4,0,1,0
"n_extinct",6,12,5,6,10,8,5
"n_tot",16,32,16,32,30,32,16
