"","EH0","EH0_80","EH80"
"in_both",0.5,0.3,0.545
"in_0",0.4,0,0
"in_80",0,0.7,0.455
"in_neither",0.1,0,0
"n_extinct",22,10,21
"n_tot",32,30,32
