"","EH0","EH0_40","EH40"
"dec_both",0,0.037,0.031
"dec_0",0,0.037,0.094
"dec_40",0.091,0.037,0.031
"dec_neither",0.909,0.889,0.844
"n_extinct",10,5,0
"n_tot",32,32,32
