"","EH0","EH0_40","EH40"
"dec_both",0,0,0
"dec_0",0,0,0
"dec_40",0,0,0.031
"dec_neither",0.312,0.688,0.344
"n_extinct",0.688,0.312,0.625
"n_tot",32,32,32
