"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"dec_both",0,0,0,0,0,0,0
"dec_0",0,0,0,0,5,7,1
"dec_80",0,0,0,0,0,0,0
"dec_none",10,20,11,26,15,17,10
"n_extinct",6,12,5,6,10,8,5
"n_tot",16,32,16,32,30,32,16
