"","EH0","EH0_80","EH80"
"in_both",0.091,0.125,0.095
"in_0",0.727,0,0
"in_80",0,0.833,0.857
"in_neither",0.182,0.042,0.048
"n_extinct",10,6,11
"n_tot",32,30,32
