"","EH0","EH0_40","EH40"
"dec_both",0,0.031,0.031
"dec_0",0,0.031,0.094
"dec_40",0.062,0.031,0.031
"dec_neither",0.625,0.75,0.844
"n_extinct",0.312,0.156,0
"n_tot",32,32,32
