"","EH0","EH0_80","EH80"
"dec_both",0,0,0
"dec_0",0,0.3,0.312
"dec_80",0.375,0,0
"dec_neither",0.312,0.5,0.344
"n_extinct",0.312,0.2,0.344
"n_tot",32,30,32
