"","EH0","EH0_80","EH80"
"dec_both",0,0,0
"dec_0",0,0.375,0.476
"dec_80",0.545,0,0
"dec_neither",0.455,0.625,0.524
"n_extinct",10,6,11
"n_tot",32,30,32
