"","EH0","EH0_80","EH80"
"dec_both",0,0,0
"dec_0",0,0.167,0.031
"dec_80",0,0,0
"dec_neither",0.312,0.5,0.312
"n_extinct",0.688,0.333,0.656
"n_tot",32,30,32
