"","EH40","EH40_80","EH80"
"in_both",0.188,0.688,0.438
"in_40",0.156,0,0
"in_80",0.219,0.094,0.188
"in_neither",0.438,0.031,0.094
"n_extinct",0,0.188,0.281
"n_tot",32,32,32
