"","II","ID","DD","IX","DX","XX"
"EH0",5,2,0,9,0,0
"EH0_40",5,5,1,4,1,0
"EH40",10,5,1,0,0,0
"EH20_60",5,4,4,3,0,0
"EH0_80",0,5,4,1,6,0
"EH40_80",1,3,6,4,2,0
"EH80",0,2,4,4,6,0
