"","EH40","EH40_80","EH80"
"dec_both",0,0,0
"dec_40",0.031,0.031,0
"dec_80",0,0,0
"dec_neither",0.312,0.719,0.375
"n_extinct",0.656,0.25,0.625
"n_tot",32,32,32
