"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"000",0.143,0.519,0.312,0.214,0.042,0.038,0.048
"100",0.476,0.259,0.125,0,0,0,0
"010",0,0,0.031,0.036,0,0,0
"001",0,0.074,0.188,0.143,0.167,0.115,0.286
"110",0.286,0.111,0.125,0,0,0,0
"101",0,0,0.031,0.107,0,0,0
"011",0,0,0.125,0.357,0.667,0.692,0.571
"111",0.095,0.037,0.062,0.143,0.125,0.154,0.095
"n_extinct",11,5,0,4,6,6,11
"n_tot",32,32,32,32,30,32,32
