"","EH0","EH0_40","EH40"
"in_both",0.281,0.406,0.312
"in_0",0,0.031,0
"in_40",0,0.062,0
"in_neither",0.031,0.188,0.062
"n_extinct",0.688,0.312,0.625
"n_tot",32,32,32
