"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"in_both",0.091,0.037,0.094,0.25,0.125,0.154,0.095
"in_0",0.727,0.37,0.25,0,0,0,0
"in_80",0,0.074,0.312,0.5,0.833,0.808,0.857
"in_neither",0.182,0.519,0.344,0.25,0.042,0.038,0.048
"n_extinct",10,5,0,4,6,6,11
"n_tot",32,32,32,32,30,32,32
