"","EH0","EH0_40","EH40","EH20_60","EH0_80","EH40_80","EH80"
"000",10,20,10,25,15,17,10
"100",0,0,0,0,5,6,1
"010",0,0,1,1,0,0,0
"001",0,0,0,0,0,0,0
"110",0,0,0,0,0,1,0
"101",0,0,0,0,0,0,0
"011",0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0
"n_extinct",6,12,5,6,10,8,5
"n_tot",16,32,16,32,30,32,16
