"","SALT_0.0","SALT_0.8","COPR_0.0","COPR_0.8"
"treatEH0",0.0545727813903832,-0.0334516282453957,0.0574597161454303,0.0432258568557458
"treatEH0_40",0.0163099548386114,NA,0.040645771201198,NA
"treatEH40",NA,NA,0.0414106565364403,0.0430170304496449
"treatEH20_60",NA,0.0674751691683509,0.037012421110929,0.0839365354184524
"treatEH0_80",-0.0147416777397543,0.101329466293362,NA,0.253110523901731
"treatEH40_80",-0.0156495422370341,0.143442352782272,NA,0.256697387248015
"treatEH80",-0.0211625676942772,0.185313929364801,NA,0.36550017952928
