"","treat","sumtreat","fixedtreat","fixedprop","min","max","mn"
"1","EH0",16,3,0.1875,0,0,0
"2","EH20",12,0,0,20,20,20
"3","EH0_40",12,2,0.166666666666667,0,40,20
"4","EH0_60",10,2,0.2,0,60,30
"5","EH40",12,0,0,40,40,40
"6","EH20_60",12,0,0,20,60,40
"7","EH0_80",12,2,0.166666666666667,0,80,40
"8","EH60",10,4,0.4,60,60,60
"9","EH40_80",16,2,0.125,40,80,60
"10","EH80",10,8,0.8,80,80,80
"11","EH100",10,5,0.5,100,100,100
