"","treat","sumtreat","fixedtreat","fixedprop","min","max","mn"
"1","EH0",16,6,0.375,0,0,0
"2","EH20",14,3,0.214285714285714,20,20,20
"3","EH0_40",16,4,0.25,0,40,20
"4","EH0_60",12,3,0.25,0,60,30
"5","EH40",16,4,0.25,40,40,40
"6","EH20_60",16,3,0.1875,20,60,40
"7","EH0_80",14,7,0.5,0,80,40
"8","EH60",14,2,0.142857142857143,60,60,60
"9","EH40_80",16,2,0.125,40,80,60
"10","EH80",14,4,0.285714285714286,80,80,80
"11","EH100",14,5,0.357142857142857,100,100,100
