"","SALT_0.0","SALT_0.8","COPR_0.0","COPR_0.8"
"treatEH0",0.0547072446751203,-0.0334443328093962,0.0574507384760577,0.0432012118063837
"treatEH0_40",0.0187484876687073,NA,0.0468659546171819,NA
"treatEH40",NA,NA,0.0518125418753073,0.0428401531740703
"treatEH20_60",NA,0.0673975347047278,0.0370313537027876,0.0839364044075206
"treatEH0_80",-0.0148775748641334,0.11937763459833,NA,0.264268556486715
"treatEH40_80",-0.0156073634763615,0.144438804506627,NA,0.256659415866291
"treatEH80",-0.021467388942431,0.18518733599436,0.027830666186821,0.365598539522899
